"","gateName","ind","cyt_combn","count_stim","n_cell_stim","count_uns","n_cell_uns","prop_stim","prop_uns","prop_bs","freq_stim","freq_uns","freq_bs"
"1","loc_minClust","1","F1~+~",0,100000,0,100000,0,0,0,0,0,0
"2","loc_minClust","1","F1~-~",100000,100000,100000,100000,1,1,0,100,100,0
